Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5335              23.8019          0.5400                 0.4329         
Total Time:24.2348594665527342        0.5796              21.7804          0.5787                 0.3982         
Total Time:46.413407325744633        0.6141              21.8123          0.5775                 0.4862         
Total Time:68.712892055511474        0.6389              21.7791          0.5450                 0.4087         
Total Time:90.90169453620915        0.6424              21.6860          0.5750                 0.4384         
Total Time:113.026061058044436        0.6741              21.6927          0.6012                 0.3999         
Total Time:135.1273615360267        0.6961              22.4078          0.4637                 0.4042         
Total Time:157.939400196075448        0.7040              22.7004          0.6000                 0.4714         
Total Time:181.11119341850289        0.7205              21.1078          0.6012                 0.4242         
Total Time:202.643106460571310       0.7426              21.8599          0.6175                 0.4668         
Total Time:224.9698755741119411       0.7251              22.4371          0.6112                 0.6593         
Total Time:248.0737996101379412       0.7345              22.3043          0.5988                 0.4823         
Total Time:270.86043596267713       0.7661              22.5825          0.6062                 0.4225         
Total Time:293.867469072341914       0.7779              21.2325          0.5787                 0.4107         
Total Time:315.512721300125115       0.7933              21.4087          0.6138                 0.4242         
Total Time:337.345669746398916       0.8085              21.8723          0.5637                 0.3892         
Total Time:359.6071667671203617       0.8021              21.2769          0.5913                 0.3861         
Total Time:381.2718136310577418       0.8273              22.3251          0.5663                 0.4079         
Total Time:404.012827396392819       0.8133              21.4340          0.5925                 0.4023         
Total Time:425.8491799831390420       0.8186              21.4141          0.5363                 0.4072         
Total Time:447.6715030670166Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5335              21.0830          0.5400                 0.4077         
Total Time:21.490706443786622        0.5796              21.3640          0.5787                 0.4849         
Total Time:43.347614288330083        0.6141              22.0082          0.5775                 0.6018         
Total Time:65.958676099777224        0.6389              40.3649          0.5450                 1.0085         
Total Time:107.332111358642585        0.6424              41.3502          0.5750                 1.2467         
Total Time:149.930812597274786        0.6741              46.7434          0.6012                 0.4113         
Total Time:197.08652400970467        0.6961              21.4611          0.4637                 0.4952         
Total Time:219.042792797088628        0.7040              25.5596          0.6000                 1.0224         
Total Time:245.63387107849129        0.7205              27.0091          0.6012                 0.8823         
Total Time:273.526341199874910       0.7426              57.0156          0.6175                 2.1632         
Total Time:332.7062005996704Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4741              25.6235          0.5025                 1.1552         
Total Time:26.7875640392303472        0.5031              24.0684          0.5250                 0.5169         
Total Time:51.391017198562623        0.5200              23.2003          0.5238                 0.5420         
Total Time:75.13328599929814        0.5214              31.2366          0.5012                 1.5979         
Total Time:107.967782974243165        0.5315              43.2241          0.5188                 1.7831         
Total Time:152.975004434585576        0.5312              44.8265          0.5100                 1.7123         
Total Time:199.51383852958687        0.5242              44.2551          0.5150                 1.6663         
Total Time:245.43522620201118        0.5185              43.0272          0.5150                 1.5844         
Total Time:290.046984195709239        0.5339              42.8102          0.5262                 1.5890         
Total Time:334.44614291191110       0.5344              44.2255          0.5262                 1.4373         
Total Time:380.10892629623413Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4715              120.5695         0.4875                 1.6547         
Total Time:122.254000186920172        0.4964              74.3594          0.5038                 2.3955         
Total Time:199.008891105651863        0.5164              74.3884          0.5250                 2.5063         
Total Time:275.903579711914064        0.5315              76.3557          0.5400                 2.6248         
Total Time:354.88407301902775        0.5298              113.6097         0.5175                 5.6778         
Total Time:474.1715781688696        0.5259              95.0926          0.5425                 2.2605         
Total Time:571.5341706275947        0.5310              69.9225          0.5038                 1.8632         
Total Time:643.31988072395328        0.5331              92.9541          0.5062                 2.3128         
Total Time:738.58683800697339        0.5296              75.2721          0.5637                 2.5928         
Total Time:816.451781988143910       0.5343              72.5601          0.5437                 4.1547         
Total Time:893.1755614280701Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4715              121.1846         0.4875                 4.8031         
Total Time:126.045125246047972        0.4964              163.1126         0.5038                 4.8557         
Total Time:294.04545259475713        0.5164              173.0626         0.5250                 4.3618         
Total Time:471.47788214683534        0.5315              212.0203         0.5400                 5.8569         
Total Time:689.36328482627875        0.5298              177.4090         0.5175                 4.4870         
Total Time:871.26732373237616        0.5259              183.8632         0.5425                 4.7567         
Total Time:1059.90362071990977        0.5310              197.8643         0.5038                 4.3710         
Total Time:1262.14723277091988        0.5331              123.2940         0.5062                 3.4671         
Total Time:1388.91089367866529        0.5296              145.0272         0.5637                 4.7070         
Total Time:1538.653112173080410       0.5343              180.6424         0.5437                 4.2537         
Total Time:1723.5651528835297Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4925              76.6226          0.5250                 2.7460         
Total Time:79.368526458740232        0.5434              84.7298          0.5350                 3.1921         
Total Time:167.306377649307253        0.5670              81.8735          0.5312                 3.2551         
Total Time:252.442943572998054        0.5927              84.3687          0.5575                 3.4225         
Total Time:340.2501869201665        0.6009              77.5731          0.5550                 2.1948         
Total Time:420.02613925933846        0.6212              74.7080          0.5925                 2.2684         
Total Time:497.00255322456367        0.6262              76.4099          0.5913                 2.7150         
Total Time:576.12742519378668        0.6326              74.4759          0.5875                 1.5496         
Total Time:652.15294456481939        0.6510              72.8674          0.6050                 2.4685         
Total Time:727.488887310028110       0.6512              78.2661          0.5950                 6.0765         
Total Time:811.831554412841811       0.6666              126.8254         0.5837                 2.4271         
Total Time:941.084075450897212       0.6716              70.8682          0.5962                 1.8333         
Total Time:1013.785654544830313       0.6744              76.5004          0.5863                 2.7018         
Total Time:1092.98776006698614       0.6933              74.0497          0.6212                 2.4983         
Total Time:1169.56860017776515       0.7039              124.0514         0.6088                 3.1750         
Total Time:1296.794976711273216       0.7036              75.1517          0.6025                 3.1752         
Total Time:1375.129942655563417       0.7100              77.3864          0.6225                 2.2008         
Total Time:1454.7387225627918       0.7192              71.5796          0.6175                 2.3662         
Total Time:1528.684497356414819       0.7222              71.2858          0.6188                 2.3954         
Total Time:1602.36572146415720       0.7311              73.8684          0.6125                 2.4298         
Total Time:1678.7043948173523Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5104              200.8655         0.5100                 5.9696         
Total Time:206.92960429191592        0.5590              583.3647         0.5687                 6.4272         
Total Time:796.7586910724643        0.5925              263.9870         0.5825                 6.8449         
Total Time:1067.59767770767214        0.6075              217.8063         0.5737                 5.6645         
Total Time:1291.0780060291295        0.6200              241.7419         0.5787                 5.4039         
Total Time:1538.2407588958746        0.6395              215.9505         0.5913                 6.1500         
Total Time:1760.3493702411652Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5054              155.7063         0.5100                 5.1999         
Total Time:160.938318729400632        0.5545              505.1711         0.5513                 3.1626         
Total Time:669.32021856307983        0.5824              82.4671          0.5700                 3.0660         
Total Time:754.86204648017884        0.6048              89.0136          0.5813                 2.7671         
Total Time:846.64275979995735        0.6175              76.5411          0.5775                 2.2333         
Total Time:925.43063807487496        0.6361              149.3761         0.5825                 3.7003         
Total Time:1078.50702095031747        0.6466              92.9599          0.5875                 3.2635         
Total Time:1174.7656493186958        0.6528              81.2260          0.5837                 2.4460         
Total Time:1258.4456002712259        0.6693              104.3917         0.6050                 7.2082         
Total Time:1370.047978162765510       0.6780              89.9032          0.6038                 3.5330         
Total Time:1463.532776832580611       0.6924              154.2533         0.5950                 3.4633         
Total Time:1621.249418497085612       0.6967              90.2167          0.6000                 3.6433         
Total Time:1715.117358684539813       0.7106              85.5621          0.6162                 2.5788         
